theta_deg_center,theta_percent_per_1deg_bin,r_formula_no_bg,r_mean_Itot1_bg,r_p05_Itot1_bg,r_p95_Itot1_bg,r_mean_ItotSin2_bg,r_p05_ItotSin2_bg,r_p95_ItotSin2_bg
4.050000000000000000e+01,1.158600000000000074e+00,5.649879397241109880e-01,4.014707520683424846e-01,3.955045039219065584e-01,4.073886714871832737e-01,2.874401053160418607e-01,2.802833030779778856e-01,2.945671663784604211e-01
4.150000000000000000e+01,1.157799999999999940e+00,5.816036008060390117e-01,4.146818810827452295e-01,4.087363051246725720e-01,4.204979922940932924e-01,3.034352595235862426e-01,2.961989211876603356e-01,3.105397908020769981e-01
4.250000000000000000e+01,1.195100000000000051e+00,5.979231257360702045e-01,4.275809074970048917e-01,4.217454796994051236e-01,4.333654730544151956e-01,3.192673957725669087e-01,3.120710481951229354e-01,3.264243625113076863e-01
4.350000000000000711e+01,1.206299999999999928e+00,6.139346905047532443e-01,4.403963973977596535e-01,4.346480145561672503e-01,4.461363850110322549e-01,3.351928144786837094e-01,3.280183094112508746e-01,3.423784756365197968e-01
4.450000000000000000e+01,1.229899999999999993e+00,6.296278361820739633e-01,4.530801760895063479e-01,4.474239055802799458e-01,4.586582431232177903e-01,3.511339714799194822e-01,3.439968380065506204e-01,3.581914073378541508e-01
4.550000000000000000e+01,1.243000000000000105e+00,6.449933834355530138e-01,4.654910987341996376e-01,4.599494703414934160e-01,4.710351838138288616e-01,3.668927152314214735e-01,3.598310893982313852e-01,3.739749143335151516e-01
4.650000000000000000e+01,1.257100000000000106e+00,6.600233480025200494e-01,4.777451743626539016e-01,4.722979259669222163e-01,4.832209759733458454e-01,3.825969540374387634e-01,3.755933435099341189e-01,3.896528840848022535e-01
4.750000000000000000e+01,1.284200000000000008e+00,6.747108576944145231e-01,4.898007237182885887e-01,4.844386068758570474e-01,4.951760623305065390e-01,3.981763774396002153e-01,3.912265921248637146e-01,4.051572174817884009e-01
4.850000000000000000e+01,1.306899999999999951e+00,6.890500714138596550e-01,5.016495079213971753e-01,4.963833654868334277e-01,5.069075664023178218e-01,4.136043139418194570e-01,4.067293527450773216e-01,4.204809317959386505e-01
4.950000000000000000e+01,1.316899999999999959e+00,7.030361005765604077e-01,5.132893917413430263e-01,5.080754445981802148e-01,5.184199964453748422e-01,4.288630140461159312e-01,4.220120044259645375e-01,4.356152877513680410e-01
5.050000000000000000e+01,1.334799999999999986e+00,7.166649332498571390e-01,5.246255485646250660e-01,5.195794364155074119e-01,5.296574660980816196e-01,4.438133797541296555e-01,4.371444978253777869e-01,4.504729370094568974e-01
5.150000000000000000e+01,1.353900000000000103e+00,7.299333612479276256e-01,5.357734788093694300e-01,5.308004446248650865e-01,5.407026629762387016e-01,4.585947111372585261e-01,4.519885313654425918e-01,4.651509037644332434e-01
5.250000000000000711e+01,1.393100000000000005e+00,7.428389103598597165e-01,5.466206841346353817e-01,5.417861258900065202e-01,5.514819333348990327e-01,4.730459413270947100e-01,4.665944427417163531e-01,4.795403095010797312e-01
