source,rod,passes,n,r_min,r_mean,r_std,r_max,ac_lag_r,phi_coverage_frac
pending,rod_x1025_y19_20260707-153740_1783435060561164400,False,5000,0.1038,0.3338,0.0702,0.5523,293.38,0.278
pending,rod_x1032_y536_20260707-153209_1783434729290890300,True,5000,0.0124,0.3683,0.1570,0.8090,,1.000
pending,rod_x1049_y1147_20260707-152251_1783434171207325700,False,5000,0.0047,0.4250,0.1632,0.7178,,1.000
pending,rod_x1110_y1609_20260707-143542_1783431342223813200,False,1640,0.0027,0.1296,0.0879,0.3736,124.91,1.000
pending,rod_x1179_y1556_20260707-145311_1783432391641323700,False,5000,0.0283,0.4457,0.1497,0.7001,,0.611
pending,rod_x1179_y1556_20260707-145319_1783432399841170100,False,5000,0.0033,0.3812,0.1361,0.7095,184.04,1.000
pending,rod_x1179_y1556_20260707-145336_1783432416428936800,False,5000,0.0033,0.3614,0.1716,0.6857,,1.000
pending,rod_x1179_y1556_20260707-145356_1783432436150558800,True,5000,0.0580,0.4292,0.1418,0.7958,,1.000
pending,rod_x1179_y1556_20260707-145421_1783432461048775900,False,5000,0.0174,0.3085,0.1144,0.5911,215.85,0.944
pending,rod_x1183_y1395_20260707-145458_1783432498956472300,False,5000,0.3668,0.5889,0.0651,0.7701,147.09,0.444
pending,rod_x1183_y1395_20260707-145508_1783432508403375700,False,5000,0.0122,0.3180,0.1274,0.7539,330.40,1.000
pending,rod_x1183_y1395_20260707-145523_1783432523389718200,False,5000,0.0244,0.2749,0.1043,0.5745,,0.556
pending,rod_x1186_y1395_20260707-145445_1783432485317008700,False,5000,0.0006,0.3932,0.1568,0.7131,350.04,1.000
pending,rod_x1195_y1354_20260707-143958_1783431598962440800,False,1640,0.0076,0.2991,0.1104,0.5778,60.53,1.000
pending,rod_x1195_y1354_20260707-144008_1783431608896931600,False,1640,0.0028,0.2098,0.0766,0.4179,32.91,1.000
pending,rod_x1195_y1354_20260707-144015_1783431615828726600,False,1640,0.0043,0.1361,0.0662,0.3303,114.96,1.000
pending,rod_x1200_y1385_20260707-144116_1783431676822915400,False,1640,0.0072,0.3809,0.1625,0.7269,79.14,1.000
pending,rod_x1205_y1358_20260707-143928_1783431568249872200,False,1640,0.0014,0.2773,0.1251,0.5703,98.15,1.000
pending,rod_x1205_y1358_20260707-143938_1783431578475096200,False,1640,0.0080,0.2127,0.0997,0.6179,50.20,1.000
pending,rod_x1208_y1378_20260707-152821_1783434501089974200,False,5000,0.0067,0.2391,0.1188,0.6646,116.94,1.000
pending,rod_x1208_y1383_20260707-144028_1783431628757254000,False,1640,0.0112,0.2307,0.1051,0.5420,43.46,1.000
pending,rod_x1215_y1373_20260707-144053_1783431653912376300,False,1640,0.0123,0.4096,0.1655,0.7323,120.06,1.000
pending,rod_x1215_y1373_20260707-144106_1783431666634316300,False,1640,0.0386,0.3622,0.1222,0.6706,62.82,0.611
pending,rod_x1225_y1445_20260707-154743_1783435663483387800,False,5000,0.0626,0.4432,0.1628,0.8578,211.12,0.667
pending,rod_x1249_y1178_20260707-143612_1783431372912721200,False,1640,0.0339,0.4506,0.1778,0.7728,150.10,0.778
pending,rod_x1249_y1178_20260707-143644_1783431404298693000,False,1640,0.0216,0.3896,0.1606,0.7652,245.61,1.000
pending,rod_x1249_y1178_20260707-143649_1783431409500114500,False,1640,0.0409,0.3602,0.1133,0.6466,82.54,0.556
pending,rod_x1278_y1164_20260707-150342_1783433022720847400,False,5000,0.3878,0.5557,0.0547,0.7009,264.30,0.444
pending,rod_x1278_y1164_20260707-150351_1783433031758533700,False,5000,0.0021,0.2654,0.1438,0.5923,,1.000
pending,rod_x1278_y1164_20260707-150407_1783433047940462700,False,5000,0.0171,0.4444,0.1508,0.7857,,0.611
pending,rod_x1278_y1164_20260707-150415_1783433055730455700,False,5000,0.0049,0.5493,0.2180,0.8424,,1.000
pending,rod_x1278_y1164_20260707-150433_1783433073930284900,False,5000,0.0261,0.3046,0.1448,0.6908,,0.833
pending,rod_x1278_y1164_20260707-150445_1783433085317345900,False,5000,0.0058,0.3507,0.1353,0.6167,314.48,1.000
pending,rod_x1278_y1164_20260707-150455_1783433095230107500,False,5000,0.0024,0.1755,0.0866,0.4765,143.24,1.000
pending,rod_x1304_y1475_20260707-150808_1783433288874376300,False,5000,0.0075,0.3385,0.1291,0.6821,,0.667
pending,rod_x1307_y1171_20260707-152833_1783434513352788000,False,5000,0.0032,0.2181,0.1171,0.6293,284.81,1.000
pending,rod_x1307_y1373_20260707-153036_1783434636424726600,True,5000,0.0043,0.3321,0.1693,0.7679,139.79,1.000
pending,rod_x1307_y1373_20260707-153046_1783434646258483800,True,5000,0.0113,0.3736,0.1742,0.7236,,0.944
pending,rod_x1307_y1373_20260707-153118_1783434678183568400,True,5000,0.0042,0.4077,0.1438,0.7584,240.81,1.000
pending,rod_x1307_y1373_20260707-153134_1783434694475227200,True,5000,0.0071,0.2785,0.1375,0.6691,116.98,1.000
pending,rod_x1312_y1080_20260707-152623_1783434383105848700,True,5000,0.0036,0.3416,0.1630,0.7778,108.63,1.000
pending,rod_x1325_y1086_20260707-152431_1783434271711853300,True,5000,0.0041,0.4452,0.1673,0.8320,125.50,1.000
pending,rod_x1325_y1086_20260707-152440_1783434280232286500,True,5000,0.0014,0.3567,0.1849,0.7526,,1.000
pending,rod_x1325_y1086_20260707-152457_1783434297339759700,True,5000,0.0113,0.4167,0.1855,0.8443,156.36,1.000
pending,rod_x1325_y1086_20260707-152505_1783434305076950100,True,5000,0.0275,0.4768,0.1445,0.8294,162.97,1.000
pending,rod_x1386_y77_20260707-153814_1783435094217033200,False,5000,0.0036,0.2888,0.1529,0.6581,234.30,1.000
pending,rod_x1401_y1571_20260707-150225_1783432945115778500,True,5000,0.2284,0.5624,0.1351,0.8456,,0.611
pending,rod_x1415_y1568_20260707-150248_1783432968515475500,True,5000,0.0171,0.4156,0.1645,0.7336,376.61,1.000
pending,rod_x1415_y1568_20260707-150259_1783432979227063000,False,5000,0.0036,0.2518,0.1248,0.5928,139.13,1.000
pending,rod_x1415_y1568_20260707-150314_1783432994766038100,False,5000,0.0043,0.2062,0.0871,0.5669,78.43,1.000
pending,rod_x1417_y1585_20260707-150016_1783432816079648100,False,5000,0.0610,0.2896,0.0657,0.4909,101.50,0.778
pending,rod_x1417_y1585_20260707-150025_1783432825581785700,False,5000,0.0076,0.4182,0.1871,0.8140,277.53,1.000
pending,rod_x1417_y1585_20260707-150035_1783432835561311300,False,5000,0.0042,0.3338,0.1597,0.7233,185.47,1.000
pending,rod_x1417_y1585_20260707-150046_1783432846823345700,True,5000,0.0228,0.4571,0.1795,0.7805,337.59,0.944
pending,rod_x1417_y1585_20260707-150101_1783432861695344300,False,5000,0.0279,0.5362,0.1667,0.8050,301.96,0.556
pending,rod_x1429_y1578_20260707-145644_1783432604737448000,False,5000,0.0597,0.2616,0.0547,0.4646,178.91,0.444
pending,rod_x1429_y1587_20260707-145923_1783432763360739400,True,5000,0.0357,0.5292,0.1614,0.8721,162.29,0.889
pending,rod_x1429_y1587_20260707-145940_1783432780757066000,False,5000,0.0899,0.5357,0.1098,0.7717,282.83,0.611
pending,rod_x1429_y1587_20260707-145948_1783432788502328600,False,5000,0.0068,0.3488,0.1393,0.7076,126.99,0.889
pending,rod_x1430_y968_20260707-155211_1783435931525393800,True,5000,0.0021,0.4472,0.1856,0.7546,,1.000
pending,rod_x1432_y1578_20260707-145720_1783432640858717700,False,5000,0.0214,0.4311,0.1450,0.7262,,0.667
