source,rod,passes,n,r_min,r_mean,r_std,r_max,ac_lag_r,phi_coverage_frac
pending,rod_x1432_y1578_20260707-145739_1783432659445526600,False,5000,0.0086,0.4410,0.1717,0.8144,186.44,0.889
pending,rod_x1432_y1578_20260707-145749_1783432669181691600,False,5000,0.0113,0.3460,0.1338,0.6737,158.97,0.833
pending,rod_x1432_y1578_20260707-145800_1783432680710545200,True,5000,0.0126,0.6142,0.1733,0.8835,,1.000
pending,rod_x1432_y1578_20260707-145824_1783432704536345700,False,5000,0.0034,0.4541,0.1341,0.6419,293.94,1.000
pending,rod_x1432_y1578_20260707-145839_1783432719696223900,False,5000,0.0330,0.3771,0.1970,0.7424,,1.000
pending,rod_x1432_y1578_20260707-145850_1783432730903180200,True,5000,0.0060,0.4665,0.1693,0.8118,,1.000
pending,rod_x1441_y1288_20260707-143405_1783431245373687000,False,1640,0.3547,0.5807,0.0631,0.7493,91.42,0.167
pending,rod_x1441_y1288_20260707-143419_1783431259942739600,True,1640,0.4036,0.6068,0.0785,0.8372,251.27,0.611
pending,rod_x1441_y1288_20260707-143430_1783431270026182200,True,1640,0.0128,0.5292,0.2051,0.7939,262.22,1.000
pending,rod_x1441_y1288_20260707-143440_1783431280964310400,False,1640,0.0164,0.3045,0.1619,0.6946,98.89,1.000
pending,rod_x1445_y1310_20260707-143137_1783431097371124200,False,1640,0.1382,0.4491,0.0988,0.6364,215.95,0.944
pending,rod_x1445_y1310_20260707-143153_1783431113526218100,False,1640,0.0025,0.2259,0.1209,0.5418,185.08,1.000
pending,rod_x1445_y1310_20260707-143158_1783431118350847000,False,1640,0.1018,0.3301,0.1271,0.6960,177.90,0.389
pending,rod_x1445_y1310_20260707-143205_1783431125526720400,False,1640,0.0842,0.3650,0.1254,0.6973,101.14,0.611
pending,rod_x1445_y1310_20260707-143226_1783431146292372600,False,1640,0.0421,0.3641,0.0733,0.5237,124.23,0.611
pending,rod_x1445_y1310_20260707-143231_1783431151811151600,False,1640,0.0259,0.1673,0.0522,0.3611,26.82,1.000
pending,rod_x1445_y1310_20260707-143239_1783431159520972300,False,1640,0.0349,0.3284,0.1426,0.5820,336.17,1.000
pending,rod_x1445_y1310_20260707-143247_1783431167326349700,False,1640,0.0158,0.3795,0.1199,0.6155,229.96,0.944
pending,rod_x1445_y1310_20260707-143254_1783431174611609600,False,1640,0.0041,0.3146,0.1082,0.5613,142.93,0.944
pending,rod_x1445_y1310_20260707-143304_1783431184732542800,False,1640,0.0037,0.3083,0.1126,0.6202,66.25,0.833
pending,rod_x1445_y1310_20260707-143323_1783431203865412700,False,1640,0.2523,0.5056,0.0925,0.6836,179.70,0.333
pending,rod_x1449_y1162_20260707-154323_1783435403438761200,True,5000,0.0045,0.3460,0.1860,0.8243,205.98,1.000
pending,rod_x1450_y1155_20260707-153847_1783435127359892900,True,5000,0.0051,0.5322,0.1746,0.8816,173.00,1.000
pending,rod_x1450_y1155_20260707-153903_1783435143636541200,False,5000,0.0045,0.3054,0.1227,0.6493,244.35,1.000
pending,rod_x1455_y1135_20260707-153653_1783435013356750800,True,5000,0.0333,0.4475,0.1428,0.7574,126.17,0.833
pending,rod_x1455_y1135_20260707-153705_1783435025368662300,True,5000,0.0482,0.5901,0.1541,0.9415,134.32,0.833
pending,rod_x1455_y1135_20260707-153717_1783435037846556300,False,5000,0.0006,0.1951,0.1068,0.5632,,1.000
pending,rod_x1456_y1388_20260707-154609_1783435569241260900,False,5000,0.0048,0.2796,0.1426,0.6256,372.73,1.000
pending,rod_x1467_y1077_20260707-153237_1783434757817069600,False,5000,0.0115,0.3307,0.1049,0.6099,193.23,0.889
pending,rod_x1488_y1118_20260707-152953_1783434593968739700,False,5000,0.1114,0.4544,0.1222,0.7481,276.04,0.444
pending,rod_x1497_y1600_20260707-152138_1783434098436820700,False,5000,0.0034,0.2051,0.1118,0.6060,,1.000
pending,rod_x1512_y1213_20260707-150516_1783433116389548600,False,5000,0.0035,0.2077,0.1036,0.4771,250.58,1.000
pending,rod_x1518_y1532_20260707-152937_1783434577890473900,False,5000,0.0069,0.3007,0.1139,0.5863,242.88,1.000
pending,rod_x1556_y1544_20260707-154840_1783435720760992000,True,5000,0.1095,0.5502,0.1337,0.8326,,1.000
pending,rod_x1556_y1544_20260707-154852_1783435732324012900,False,5000,0.1952,0.5323,0.0915,0.7446,195.36,0.389
pending,rod_x1590_y1595_20260707-152115_1783434075126994400,False,5000,0.0061,0.4668,0.1684,0.7984,318.25,1.000
pending,rod_x1597_y997_20260707-154713_1783435633286841400,True,5000,0.0163,0.4197,0.1131,0.7521,285.85,1.000
pending,rod_x1600_y1103_20260707-150828_1783433308157162000,False,5000,0.0032,0.3450,0.1636,0.6869,,0.889
pending,rod_x1600_y1286_20260707-154905_1783435745416207400,False,5000,0.0088,0.4366,0.1595,0.7994,106.13,1.000
pending,rod_x1602_y1096_20260707-154511_1783435511565602700,False,5000,0.2203,0.4790,0.0584,0.6910,104.33,0.278
pending,rod_x1609_y1570_20260707-155337_1783436017569725500,True,5000,0.0031,0.4681,0.2143,0.8784,271.79,1.000
pending,rod_x1610_y968_20260707-153611_1783434971377119400,True,5000,0.0110,0.4071,0.1601,0.7796,152.60,1.000
pending,rod_x1612_y1554_20260707-155245_1783435965773591200,True,5000,0.0089,0.3742,0.1465,0.7168,133.99,1.000
pending,rod_x1612_y1554_20260707-155254_1783435974485092300,True,5000,0.0056,0.3970,0.2246,0.7920,,1.000
pending,rod_x1612_y1554_20260707-155310_1783435990901617100,False,5000,0.0018,0.2895,0.0935,0.5226,122.81,1.000
pending,rod_x1617_y932_20260707-153443_1783434883511581200,True,5000,0.0090,0.4114,0.1736,0.7850,133.73,1.000
pending,rod_x1617_y932_20260707-153508_1783434908713734700,True,5000,0.0058,0.3751,0.1979,0.7876,296.73,1.000
pending,rod_x1619_y847_20260707-145225_1783432345281452300,True,5000,0.0119,0.3387,0.1827,0.8845,220.98,1.000
pending,rod_x1619_y847_20260707-145238_1783432358840034700,True,5000,0.0051,0.3768,0.1321,0.7316,215.29,1.000
pending,rod_x1619_y847_20260707-145301_1783432381624177900,False,5000,0.0630,0.3240,0.1169,0.6893,,0.333
pending,rod_x1624_y979_20260707-152907_1783434547331776700,False,5000,0.0143,0.3911,0.1484,0.7289,,0.778
pending,rod_x1651_y1556_20260707-155446_1783436086890736100,True,5000,0.0049,0.3366,0.1468,0.6776,62.06,1.000
pending,rod_x1651_y1556_20260707-155508_1783436108610258100,False,5000,0.0052,0.2238,0.0926,0.4865,371.82,1.000
pending,rod_x1651_y1556_20260707-155521_1783436121275013800,True,5000,0.0024,0.3367,0.1527,0.7477,111.85,1.000
pending,rod_x1658_y1563_20260707-155537_1783436137969889400,True,5000,0.0048,0.3026,0.1599,0.7911,208.54,1.000
pending,rod_x1658_y1563_20260707-155552_1783436152385267800,False,5000,0.0021,0.2501,0.1288,0.6234,210.97,1.000
pending,rod_x1658_y1563_20260707-155625_1783436185862993700,True,5000,0.0271,0.3552,0.1246,0.6783,173.92,1.000
pending,rod_x1658_y1563_20260707-155647_1783436207598257100,True,5000,0.0279,0.5654,0.1553,0.8863,200.96,1.000
pending,rod_x1658_y1563_20260707-155723_1783436243071159400,False,5000,0.0025,0.2540,0.0967,0.5376,135.02,1.000
pending,rod_x1734_y1186_20260707-155919_1783436359140507700,False,5000,0.0023,0.3571,0.1645,0.7449,119.08,1.000
pending,rod_x1751_y1266_20260707-151412_1783433652839500400,True,5000,0.1937,0.7236,0.1281,0.9018,198.51,1.000
pending,rod_x1751_y1266_20260707-151428_1783433668352011600,True,5000,0.0093,0.5775,0.2082,0.8744,351.27,1.000
pending,rod_x1751_y1266_20260707-151449_1783433689081818400,True,5000,0.0072,0.4302,0.1900,0.8280,188.44,1.000
pending,rod_x1751_y1266_20260707-151501_1783433701727057300,True,5000,0.0074,0.4954,0.2301,0.8623,,1.000
pending,rod_x1751_y1266_20260707-151514_1783433714391193600,True,5000,0.0007,0.3586,0.1988,0.8718,394.40,1.000
pending,rod_x1751_y1266_20260707-151535_1783433735412750000,True,5000,0.0146,0.4564,0.1993,0.8827,,1.000
pending,rod_x1751_y1266_20260707-151545_1783433745107453900,True,5000,0.0084,0.3691,0.1606,0.7421,,1.000
pending,rod_x1751_y1266_20260707-151558_1783433758322315600,True,5000,0.0138,0.4625,0.1625,0.8349,234.46,1.000
pending,rod_x1751_y1266_20260707-151608_1783433768545237200,True,5000,0.0075,0.5776,0.1947,0.8883,270.83,1.000
pending,rod_x1751_y1266_20260707-151626_1783433786325139400,True,5000,0.0108,0.3032,0.1430,0.6487,206.50,1.000
pending,rod_x1751_y1266_20260707-151640_1783433800417438100,False,5000,0.0186,0.3368,0.1327,0.6611,231.14,0.889
pending,rod_x1751_y1439_20260707-144839_1783432119244616000,True,5000,0.0113,0.4866,0.1948,0.8180,,1.000
pending,rod_x1751_y1439_20260707-144854_1783432134799759500,False,5000,0.0749,0.4503,0.1793,0.8293,,0.667
pending,rod_x1751_y1439_20260707-144914_1783432154229261300,False,5000,0.0044,0.3073,0.1381,0.5916,399.45,1.000
pending,rod_x1751_y1439_20260707-144922_1783432162476410700,False,5000,0.1577,0.3542,0.0869,0.5632,317.56,0.389
pending,rod_x1751_y1439_20260707-144930_1783432170280074900,False,5000,0.0016,0.3375,0.1733,0.6851,,1.000
pending,rod_x1751_y1439_20260707-144941_1783432181643520500,False,5000,0.0026,0.3072,0.1790,0.6560,,1.000
pending,rod_x1751_y1439_20260707-144953_1783432193556984800,False,5000,0.0050,0.2648,0.1564,0.6350,,1.000
pending,rod_x1751_y1439_20260707-145003_1783432203058059400,False,5000,0.2666,0.4704,0.0698,0.7027,158.99,0.333
pending,rod_x1751_y1439_20260707-145009_1783432209916319000,False,5000,0.0027,0.3806,0.2137,0.7438,,0.944
pending,rod_x1751_y1439_20260707-145020_1783432220154508200,False,5000,0.0131,0.3958,0.1485,0.6384,,1.000
pending,rod_x1751_y1439_20260707-145031_1783432231772806900,False,5000,0.0085,0.2506,0.1200,0.5823,343.60,1.000
pending,rod_x1751_y1439_20260707-145044_1783432244322767600,False,5000,0.0022,0.1529,0.0943,0.4503,229.41,1.000
pending,rod_x1751_y1687_20260707-144537_1783431937320791400,False,5000,0.0044,0.1960,0.0713,0.5631,143.94,0.944
pending,rod_x1751_y1687_20260707-144545_1783431945044642400,False,5000,0.0053,0.2199,0.0871,0.4680,,1.000
pending,rod_x1751_y1692_20260707-144148_1783431708869646900,True,1640,0.0144,0.4856,0.1245,0.6784,164.93,0.944
pending,rod_x1751_y1692_20260707-144156_1783431716580902900,False,1640,0.2838,0.4143,0.0611,0.6452,79.99,0.556
pending,rod_x1751_y1692_20260707-144202_1783431722301751700,False,1640,0.2369,0.5627,0.0959,0.7332,133.42,0.500
pending,rod_x1751_y1692_20260707-144208_1783431728084614600,False,1640,0.2797,0.6044,0.1373,0.7790,349.43,0.389
pending,rod_x1751_y1692_20260707-144219_1783431739647611700,True,5000,0.0699,0.4169,0.1371,0.7250,332.54,1.000
pending,rod_x1751_y1692_20260707-144233_1783431753429999200,False,5000,0.0051,0.3877,0.1516,0.6869,272.35,1.000
pending,rod_x1751_y1692_20260707-144241_1783431761459363500,False,5000,0.0052,0.3573,0.1508,0.7278,,0.611
pending,rod_x1753_y1276_20260707-151739_1783433859834924400,True,5000,0.0051,0.3336,0.1723,0.8109,142.13,1.000
pending,rod_x1753_y1276_20260707-151755_1783433875494940600,True,5000,0.0096,0.3617,0.2054,0.8480,355.26,1.000
pending,rod_x1753_y1276_20260707-151804_1783433884786453300,True,5000,0.0130,0.4841,0.1901,0.8682,172.72,1.000
pending,rod_x1753_y1276_20260707-151814_1783433894645966000,True,5000,0.0111,0.3995,0.1623,0.8051,195.46,1.000
pending,rod_x1753_y1276_20260707-151825_1783433905231119900,True,5000,0.0249,0.6204,0.1707,0.9013,239.31,1.000
pending,rod_x1753_y1276_20260707-151851_1783433931187502900,True,5000,0.0074,0.4523,0.2091,0.8427,384.49,1.000
pending,rod_x1753_y1276_20260707-151903_1783433943982978000,True,5000,0.0013,0.4125,0.2189,0.9659,153.17,1.000
pending,rod_x1753_y1276_20260707-151918_1783433958635795000,True,5000,0.0196,0.6120,0.1867,0.8852,160.26,1.000
pending,rod_x1753_y1276_20260707-151938_1783433978125945300,True,5000,0.0060,0.5612,0.2096,0.8813,172.76,1.000
pending,rod_x1753_y1276_20260707-151952_1783433992684471300,True,5000,0.0152,0.5766,0.1793,0.9244,133.08,1.000
pending,rod_x1753_y1276_20260707-152005_1783434005260832200,True,5000,0.0075,0.4943,0.2134,0.9111,332.64,1.000
pending,rod_x1753_y1276_20260707-152016_1783434016550840300,True,5000,0.0072,0.4297,0.2291,0.8560,,1.000
pending,rod_x1755_y1432_20260707-144748_1783432068837689500,False,5000,0.0042,0.3304,0.1077,0.6302,233.11,1.000
pending,rod_x1755_y1432_20260707-144756_1783432076375311300,True,5000,0.0433,0.4124,0.1684,0.7161,,1.000
pending,rod_x1755_y1432_20260707-144810_1783432090257064600,False,5000,0.0087,0.2758,0.0811,0.4825,112.53,0.944
pending,rod_x1755_y1432_20260707-144818_1783432098024850500,False,5000,0.0078,0.3540,0.1481,0.6475,215.19,1.000
pending,rod_x1755_y1680_20260707-144600_1783431960971010900,True,5000,0.0041,0.3555,0.2062,0.7532,,1.000
pending,rod_x1755_y1680_20260707-144611_1783431971311713400,False,5000,0.0036,0.1964,0.0959,0.6077,140.77,1.000
pending,rod_x1755_y1680_20260707-144622_1783431982951144900,False,5000,0.0549,0.2988,0.0834,0.5142,317.23,1.000
pending,rod_x1755_y1680_20260707-144630_1783431990477592800,False,5000,0.0010,0.3621,0.1202,0.6273,193.09,1.000
pending,rod_x1755_y1680_20260707-144637_1783431997885594500,False,5000,0.0013,0.2344,0.1195,0.5499,,1.000
pending,rod_x1755_y1680_20260707-144652_1783432012606529900,False,5000,0.0397,0.3235,0.1192,0.6413,,0.833
pending,rod_x1755_y1680_20260707-144723_1783432043286943800,False,5000,0.0042,0.2478,0.1436,0.6147,,1.000
pending,rod_x1755_y1685_20260707-144527_1783431927159044000,False,5000,0.0072,0.3172,0.1611,0.7685,243.93,1.000
pending,rod_x1757_y920_20260707-154153_1783435313863072700,False,5000,0.0040,0.3158,0.1470,0.6892,130.38,1.000
pending,rod_x1762_y1167_20260707-154455_1783435495016795500,False,5000,0.0058,0.3049,0.1039,0.5631,,1.000
pending,rod_x1762_y917_20260707-154143_1783435303682476900,False,5000,0.0048,0.3848,0.1342,0.6824,,1.000
pending,rod_x1766_y885_20260707-154023_1783435223175493400,True,5000,0.0110,0.5059,0.1205,0.7279,150.73,1.000
pending,rod_x1766_y885_20260707-154038_1783435238979521200,False,5000,0.0053,0.3442,0.1710,0.7532,200.06,1.000
pending,rod_x1771_y924_20260707-153825_1783435105704147000,False,5000,0.0047,0.2909,0.1312,0.5913,203.38,1.000
pending,rod_x1774_y891_20260707-153526_1783434926256008400,True,5000,0.0081,0.3657,0.1121,0.6617,126.70,1.000
pending,rod_x1774_y891_20260707-153536_1783434936447460400,True,5000,0.0052,0.3553,0.1559,0.6904,185.07,1.000
pending,rod_x1774_y891_20260707-153601_1783434961488507400,False,5000,0.0023,0.2207,0.1079,0.5673,140.89,1.000
pending,rod_x1785_y855_20260707-143707_1783431427995206100,False,1640,0.0295,0.3529,0.1542,0.6800,158.47,0.611
pending,rod_x1785_y855_20260707-143717_1783431437039234600,False,1640,0.0142,0.3698,0.1390,0.6213,188.29,0.889
pending,rod_x1785_y855_20260707-143729_1783431449119247200,False,1640,0.0224,0.3419,0.1244,0.6440,82.20,0.889
pending,rod_x1790_y862_20260707-153419_1783434859910490000,False,5000,0.0041,0.2971,0.1283,0.5991,146.00,1.000
pending,rod_x1792_y1514_20260707-150817_1783433297859023400,False,5000,0.0040,0.4561,0.1931,0.7501,,1.000
pending,rod_x1846_y1315_20260707-150951_1783433391249010800,True,5000,0.0113,0.4105,0.1798,0.8182,134.78,1.000
pending,rod_x1846_y1315_20260707-151003_1783433403729447400,False,5000,0.0198,0.4051,0.1703,0.7658,310.46,0.778
pending,rod_x1846_y1315_20260707-151029_1783433429811829800,True,5000,0.0073,0.4513,0.1917,0.8394,372.63,1.000
pending,rod_x1846_y1315_20260707-151040_1783433440171558000,True,5000,0.0051,0.5743,0.1866,0.8689,,1.000
pending,rod_x1846_y1315_20260707-151049_1783433449308884100,True,5000,0.0076,0.3897,0.1568,0.7953,105.89,1.000
pending,rod_x1846_y1315_20260707-151057_1783433457675043500,True,5000,0.0073,0.5950,0.1564,0.8996,351.20,1.000
pending,rod_x1846_y1315_20260707-151108_1783433468147438300,True,5000,0.0121,0.4983,0.1694,0.8556,119.18,1.000
pending,rod_x1846_y1315_20260707-151125_1783433485507770800,True,5000,0.0165,0.4295,0.1864,0.8445,295.99,1.000
pending,rod_x1846_y1315_20260707-151145_1783433505823402800,True,5000,0.0120,0.4015,0.1459,0.7248,399.17,1.000
pending,rod_x1846_y1315_20260707-151208_1783433528130460600,True,5000,0.0041,0.3906,0.1893,0.7796,190.06,1.000
pending,rod_x1846_y1315_20260707-151220_1783433540234778900,False,5000,0.0230,0.3948,0.1469,0.7476,,0.556
pending,rod_x1846_y1315_20260707-151235_1783433555255229900,True,5000,0.0141,0.4643,0.1832,0.8595,199.49,1.000
pending,rod_x1846_y1315_20260707-151244_1783433564058815100,False,5000,0.0045,0.2813,0.1464,0.6700,73.07,1.000
pending,rod_x1846_y1315_20260707-151302_1783433582868404800,True,5000,0.0074,0.4870,0.2173,0.8944,,1.000
pending,rod_x1877_y1178_20260707-160132_1783436492728368400,True,5000,0.0027,0.3647,0.1732,0.7278,,1.000
pending,rod_x1877_y918_20260707-150149_1783432909317810800,False,5000,0.0025,0.1459,0.0826,0.4574,,1.000
pending,rod_x1887_y1320_20260707-150917_1783433357058677100,True,5000,0.0078,0.3669,0.2005,0.8583,247.51,1.000
pending,rod_x1887_y1320_20260707-150925_1783433365575489900,True,5000,0.0052,0.3519,0.1929,0.8235,,1.000
pending,rod_x1892_y1157_20260707-155955_1783436395626109500,True,5000,0.0072,0.3376,0.1294,0.6645,167.30,1.000
pending,rod_x1896_y1157_20260707-155851_1783436331749356900,True,5000,0.0046,0.3058,0.1349,0.6282,138.74,1.000
pending,rod_x1897_y1161_20260707-155945_1783436385143612000,True,5000,0.0119,0.3772,0.1507,0.7504,106.23,1.000
pending,rod_x1904_y1290_20260707-152327_1783434207340260800,True,5000,0.1196,0.6375,0.1434,0.8857,,1.000
pending,rod_x1904_y1290_20260707-152346_1783434226820620300,True,5000,0.0022,0.3164,0.1299,0.6710,159.43,1.000
pending,rod_x1938_y1147_20260707-152640_1783434400643978400,False,5000,0.0007,0.2742,0.1178,0.6665,117.35,1.000
pending,rod_x1938_y1147_20260707-152659_1783434419982008700,True,5000,0.0054,0.4047,0.1901,0.9168,202.10,1.000
pending,rod_x1938_y1147_20260707-152710_1783434430917233500,True,5000,0.0082,0.4042,0.1833,0.8507,165.99,1.000
pending,rod_x1938_y1147_20260707-152729_1783434449761576800,True,5000,0.0058,0.3967,0.1919,0.8502,,1.000
pending,rod_x1955_y1225_20260707-152800_1783434480986227500,False,5000,0.0047,0.3371,0.1239,0.6608,246.24,1.000
pending,rod_x1965_y1249_20260707-153301_1783434781492117100,False,5000,0.0121,0.3738,0.1115,0.6035,136.71,1.000
pending,rod_x1965_y1249_20260707-153319_1783434799608593000,True,5000,0.0100,0.3443,0.1602,0.6907,207.22,1.000
pending,rod_x1965_y1249_20260707-153330_1783434810160308900,True,5000,0.0032,0.4485,0.1496,0.7855,212.45,1.000
pending,rod_x1965_y1249_20260707-153343_1783434823519234600,False,5000,0.0041,0.3882,0.1692,0.7308,287.24,1.000
pending,rod_x1989_y1471_20260707-145548_1783432548861467700,True,5000,0.0083,0.3203,0.1520,0.6933,160.57,1.000
pending,rod_x1989_y1471_20260707-145559_1783432559133424200,False,5000,0.0164,0.3073,0.1255,0.6096,104.90,1.000
pending,rod_x599_y1015_20260707-152538_1783434338031914800,False,5000,0.0019,0.3113,0.1295,0.5968,,1.000
pending,rod_x620_y1080_20260707-150215_1783432935075148800,False,5000,0.0212,0.3640,0.1755,0.7276,,0.611
