percentage_bin_center,r=0.0500,r=0.0600,r=0.0700,r=0.0800,r=0.0900,r=0.1000,r=0.1100,r=0.1200,r=0.1300,r=0.1400,r=0.1500,r=0.1600,r=0.1700,r=0.1800,r=0.1900,r=0.2000,r=0.2100,r=0.2200,r=0.2300,r=0.2400,r=0.2500,r=0.2600,r=0.2700,r=0.2800,r=0.2900,r=0.3000,r=0.3100,r=0.3200,r=0.3300,r=0.3400,r=0.3500,r=0.3600,r=0.3700,r=0.3800,r=0.3900,r=0.4000,r=0.4100,r=0.4200,r=0.4300,r=0.4400,r=0.4500,r=0.4600,r=0.4700,r=0.4800,r=0.4900,r=0.5000,r=0.5100,r=0.5200,r=0.5300,r=0.5400,r=0.5500,r=0.5600,r=0.5700,r=0.5800,r=0.5900,r=0.6000,r=0.6100,r=0.6200,r=0.6300,r=0.6400,r=0.6500,r=0.6600,r=0.6700,r=0.6800,r=0.6900,r=0.7000,r=0.7100,r=0.7200,r=0.7300,r=0.7400,r=0.7500,r=0.7600,r=0.7700,r=0.7800,r=0.7900,r=0.8000,r=0.8100,r=0.8200,r=0.8300,r=0.8400,r=0.8500,r=0.8600,r=0.8700
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2500156251953151e-05,1.2500140626582052e-05,1.2500140626582052e-05,1.2500140626582052e-05,1.2500125001250015e-05,2.5000218751914082e-05,2.5000187501406265e-05,2.500015625097657e-05,3.750023437646486e-05,3.750023437646486e-05,3.750023437646486e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05,3.7500187500937516e-05
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2500562525313642e-05,1.2500468767578786e-05,2.5000875030626077e-05,3.7501125033751025e-05,5.0001437541329324e-05,5.000125003125079e-05,5.000106252257861e-05,6.250132815322328e-05,6.250132815322328e-05,6.250109376914097e-05,7.500121876980503e-05,7.50010312641799e-05,7.50010312641799e-05,7.500093751171891e-05,0.00010000125001562521,8.750109376367207e-05,0.00010000112501265642,0.00010000112501265642,0.00011250126563923846,0.00011250112501125013,0.00011250098438361337,0.00011250084375632819,0.00011250070312939458,0.00011250070312939458,0.00011250070312939458,0.00012500078125488287,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505,0.00012500062500312505
0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2501422036756684e-05,1.250118761282322e-05,3.750318777096054e-05,5.000393781010255e-05,5.0003625262831564e-05,6.25041408993346e-05,6.250375022501352e-05,7.500393770672962e-05,6.250281262656821e-05,8.75032813730515e-05,0.00010000350012250431,0.00010000300009000272,0.00010000287508265865,0.00011250281257031427,0.00011250239067580188,0.00010000212504515722,0.00011250239067580188,0.00013750240629211016,0.00017500284379621172,0.00020000275003781307,0.00020000275003781307,0.00021250265628320358,0.00021250265628320358,0.00022500281253515672,0.0002250025312784769,0.0002625029531582231,0.0002750030937848051,0.0003125031250312504,0.0003250028437748831,0.0003375025312689846,0.00033750210938818373,0.00033750210938818373,0.0003625022656391603,0.00035000218751367204,0.0003500017500087501,0.0003500017500087501,0.0003625018125090626,0.0003625018125090626,0.0003750018750093751,0.0003750018750093751,0.0003750018750093751,0.0003750018750093751,0.0003750018750093751,0.0003750018750093751,0.0003750018750093751,0.0003750018750093751,0.0003750018750093751,0.0003750018750093751,0.0003750018750093751
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2502500500100022e-05,3.750675121521875e-05,5.0008063800287806e-05,5.000718853335168e-05,6.25078134766846e-05,6.250711018378342e-05,8.750831328976254e-05,7.500637554192108e-05,8.750689116767947e-05,0.00011250815684137101,0.00010000662543893535,0.00010000600036002161,0.0001375072191290043,0.00020000900040501827,0.0001875070315136818,0.00020000700024500861,0.00023750712521375644,0.00030000862524797594,0.00033750843771094283,0.00037500796891933963,0.0004000085001806289,0.0004250090314419182,0.0004625080938916432,0.00046250751574713095,0.000475006531339806,0.000512507046971896,0.000575007187589845,0.0006125076563457044,0.0006625082813535171,0.0007000078750885949,0.0007625085782215051,0.0008250092813544154,0.000800008000080001,0.0008375073281891219,0.0008750065625492192,0.0009125057031606449,0.001000006250039063,0.001000006250039063,0.0010250064062900396,0.0010750053750268754,0.001087505437527188,0.0011000055000275003,0.0011250056250281255,0.001112505562527813,0.0011375056875284379,0.001162505812529063,0.0011750058750293754,0.0011750058750293754,0.001187505937529688,0.001187505937529688,0.0012000060000300005,0.0012000060000300005,0.0012000060000300005,0.0012000060000300005
