percentage_bin_center,r=0.0500,r=0.0600,r=0.0700,r=0.0800,r=0.0900,r=0.1000,r=0.1100,r=0.1200,r=0.1300,r=0.1400,r=0.1500,r=0.1600,r=0.1700,r=0.1800,r=0.1900,r=0.2000,r=0.2100,r=0.2200,r=0.2300,r=0.2400,r=0.2500,r=0.2600,r=0.2700,r=0.2800,r=0.2900,r=0.3000,r=0.3100,r=0.3200,r=0.3300,r=0.3400,r=0.3500,r=0.3600,r=0.3700,r=0.3800,r=0.3900,r=0.4000,r=0.4100,r=0.4200,r=0.4300,r=0.4400,r=0.4500,r=0.4600,r=0.4700,r=0.4800,r=0.4900,r=0.5000,r=0.5100,r=0.5200,r=0.5300,r=0.5400,r=0.5500,r=0.5600,r=0.5700,r=0.5800,r=0.5900,r=0.6000,r=0.6100,r=0.6200,r=0.6300,r=0.6400,r=0.6500,r=0.6600,r=0.6700,r=0.6800,r=0.6900,r=0.7000,r=0.7100,r=0.7200,r=0.7300,r=0.7400,r=0.7500,r=0.7600,r=0.7700,r=0.7800,r=0.7900,r=0.8000,r=0.8100,r=0.8200,r=0.8300,r=0.8400,r=0.8500,r=0.8600,r=0.8700
5.65,0.10410257949310521,0.11889802078370955,0.1402532259617253,0.16629911337143943,0.19424442444244494,0.23066441652603373,0.26239799591983776,0.3059318834673791,0.3455038869187291,0.3749134372835945,0.3943375000000014,0.40631250000000146,0.39988750000000145,0.38630000000000136,0.3584250000000013,0.3279500000000012,0.2961250000000011,0.2540625000000009,0.21398750000000077,0.17647500000000063,0.14248750000000052,0.11752500000000042,0.09375000000000033,0.07423750000000026,0.060537500000000216,0.04783750000000017,0.03848750000000014,0.03268750000000012,0.026300000000000094,0.020637500000000072,0.01653750000000006,0.014437500000000053,0.011425000000000041,0.010250000000000037,0.008712500000000031,0.006625000000000024,0.004950000000000018,0.0038375000000000136,0.0030500000000000106,0.002612500000000009,0.001987500000000007,0.002000000000000007,0.0015250000000000053,0.001075000000000004,0.0009625000000000034,0.0007875000000000028,0.000575000000000002,0.0004125000000000015,0.0003625000000000013,0.00040000000000000143,0.00038750000000000134,0.000287500000000001,0.00018750000000000068,0.00018750000000000068,0.00017500000000000065,0.00021250000000000075,0.00017500000000000065,0.00015000000000000053,0.0001375000000000005,0.00015000000000000053,0.00015000000000000053,0.0001125000000000004,0.0001125000000000004,7.500000000000026e-05,7.500000000000026e-05,5.000000000000018e-05,7.500000000000026e-05,8.750000000000032e-05,8.750000000000032e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,6.250000000000022e-05,6.250000000000022e-05,6.250000000000022e-05,6.250000000000022e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05
5.75,0.1183205534130634,0.13695341483268053,0.1593945781588536,0.187877242200118,0.21767176717671652,0.2468779298706156,0.2881490259610369,0.32538232110222304,0.35755402248275103,0.3834134585336443,0.3984624999999979,0.3954999999999979,0.38723749999999796,0.365299999999998,0.3306749999999983,0.3029374999999984,0.2624624999999986,0.2269499999999988,0.190399999999999,0.1532624999999992,0.12457499999999934,0.09992499999999947,0.07741249999999959,0.06372499999999966,0.05134999999999973,0.04136249999999978,0.03369999999999982,0.027387499999999853,0.02062499999999989,0.01708749999999991,0.013974999999999925,0.01124999999999994,0.010049999999999946,0.008512499999999954,0.006349999999999966,0.004849999999999974,0.0038124999999999795,0.0028749999999999848,0.0025124999999999865,0.00188749999999999,0.0018124999999999903,0.0012499999999999933,0.0010124999999999945,0.0009624999999999949,0.0006499999999999966,0.0004249999999999977,0.0003249999999999983,0.0003874999999999979,0.000374999999999998,0.0003124999999999983,0.00016249999999999915,0.00017499999999999908,0.00019999999999999893,0.00016249999999999915,0.00013749999999999928,0.00012499999999999935,0.00016249999999999915,0.0001124999999999994,9.999999999999946e-05,7.49999999999996e-05,4.999999999999973e-05,8.749999999999954e-05,4.999999999999973e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05,3.74999999999998e-05,4.999999999999973e-05,4.999999999999973e-05,4.999999999999973e-05,6.249999999999968e-05,7.49999999999996e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05,6.249999999999968e-05
5.8500000000000005,0.1391035548686249,0.15552146203678405,0.18143651409846298,0.20385455891104282,0.23361086108610946,0.26977936121007656,0.3077623104924208,0.34078266761002246,0.36799163990595024,0.3850259625649078,0.3924375000000014,0.3897125000000014,0.3720875000000013,0.34041250000000123,0.3115500000000011,0.277612500000001,0.23875000000000085,0.19991250000000071,0.16290000000000057,0.13108750000000047,0.10598750000000039,0.08297500000000028,0.06675000000000024,0.05386250000000019,0.04248750000000016,0.03412500000000012,0.0283875000000001,0.021600000000000077,0.017737500000000062,0.013725000000000048,0.011675000000000041,0.009862500000000034,0.00845000000000003,0.006275000000000023,0.004725000000000017,0.0035875000000000126,0.0027750000000000097,0.002275000000000008,0.0019000000000000067,0.001675000000000006,0.0012375000000000044,0.0009625000000000034,0.0008125000000000029,0.000537500000000002,0.0003500000000000013,0.00038750000000000134,0.0003500000000000013,0.000287500000000001,0.00016250000000000056,0.0001375000000000005,0.00020000000000000071,0.0001375000000000005,0.00012500000000000044,0.00015000000000000053,0.0001125000000000004,8.750000000000032e-05,5.000000000000018e-05,7.500000000000026e-05,5.000000000000018e-05,5.000000000000018e-05,6.250000000000022e-05,5.000000000000018e-05,6.250000000000022e-05,6.250000000000022e-05,5.000000000000018e-05,7.500000000000026e-05,7.500000000000026e-05,6.250000000000022e-05,6.250000000000022e-05,6.250000000000022e-05,5.000000000000018e-05,3.750000000000013e-05,3.750000000000013e-05,3.750000000000013e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05
5.95,0.15487212576842138,0.1766027600745729,0.19573939255275194,0.22639532732246256,0.25530053005300624,0.2911181948871815,0.32418796751870194,0.3539829646167051,0.3719916849064565,0.38711346778367084,0.3810750000000014,0.3703750000000013,0.34770000000000123,0.31775000000000114,0.288700000000001,0.2503125000000009,0.21365000000000076,0.1771500000000006,0.1433000000000005,0.1149250000000004,0.09133750000000032,0.07052500000000025,0.0574375000000002,0.04441250000000015,0.03557500000000013,0.029700000000000105,0.02276250000000008,0.018087500000000065,0.01382500000000005,0.012062500000000044,0.009700000000000033,0.00851250000000003,0.006400000000000023,0.004712500000000016,0.0035375000000000124,0.0027625000000000097,0.002262500000000008,0.0019250000000000068,0.0015250000000000053,0.001075000000000004,0.0009000000000000032,0.0007250000000000026,0.0004375000000000016,0.0003250000000000011,0.00038750000000000134,0.000287500000000001,0.00023750000000000084,0.0001375000000000005,0.00018750000000000068,0.0001375000000000005,0.0001125000000000004,0.00016250000000000056,0.0001125000000000004,7.500000000000026e-05,7.500000000000026e-05,5.000000000000018e-05,6.250000000000022e-05,5.000000000000018e-05,6.250000000000022e-05,6.250000000000022e-05,7.500000000000026e-05,6.250000000000022e-05,5.000000000000018e-05,3.750000000000013e-05,6.250000000000022e-05,3.750000000000013e-05,3.750000000000013e-05,2.500000000000009e-05,2.500000000000009e-05,2.500000000000009e-05,2.500000000000009e-05,2.500000000000009e-05,2.500000000000009e-05,2.500000000000009e-05,1.2500000000000045e-05,1.2500000000000045e-05,1.2500000000000045e-05,1.2500000000000045e-05,1.2500000000000045e-05,1.2500000000000045e-05,1.2500000000000045e-05,1.2500000000000045e-05,1.2500000000000045e-05
6.050000000000001,0.17689310384497936,0.19099455962468687,0.21806888636337945,0.24219761865470366,0.2752525252525238,0.30809425589099154,0.3375885035401398,0.3607206162138629,0.37639173440701,0.3779634449086102,0.373374999999998,0.3554749999999981,0.3243374999999983,0.29527499999999846,0.26304999999999856,0.2260874999999988,0.18967499999999898,0.15394999999999917,0.12248749999999935,0.09901249999999948,0.0756499999999996,0.061474999999999676,0.048774999999999735,0.038599999999999794,0.031162499999999833,0.024587499999999866,0.0187999999999999,0.014474999999999922,0.012724999999999933,0.009749999999999948,0.008774999999999953,0.0066624999999999645,0.004587499999999975,0.003537499999999981,0.002737499999999985,0.0021999999999999884,0.00184999999999999,0.0014124999999999925,0.0009749999999999948,0.000924999999999995,0.0006124999999999967,0.0003624999999999981,0.0003249999999999983,0.0003249999999999983,0.0002874999999999985,0.00016249999999999915,0.00017499999999999908,0.00016249999999999915,0.00012499999999999935,0.0001499999999999992,0.0001124999999999994,4.999999999999973e-05,4.999999999999973e-05,4.999999999999973e-05,3.74999999999998e-05,6.249999999999968e-05,4.999999999999973e-05,6.249999999999968e-05,4.999999999999973e-05,4.999999999999973e-05,3.74999999999998e-05,2.4999999999999866e-05,2.4999999999999866e-05,2.4999999999999866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.15,0.1896230048568706,0.21285108926291807,0.2314965886884744,0.2626255807092038,0.2941419141914202,0.3239452465779123,0.34702638105524347,0.3620456460270369,0.37342920107851346,0.3678384195960503,0.3578250000000012,0.33311250000000114,0.3049375000000011,0.278462500000001,0.23957500000000084,0.2021875000000007,0.1667875000000006,0.13432500000000047,0.10856250000000038,0.08385000000000029,0.06575000000000024,0.05185000000000018,0.040587500000000144,0.032400000000000116,0.026675000000000094,0.01973750000000007,0.015400000000000054,0.012737500000000046,0.009675000000000034,0.008912500000000032,0.006912500000000025,0.0047875000000000174,0.0036875000000000132,0.0026500000000000096,0.0021750000000000077,0.0018250000000000065,0.0014000000000000052,0.0010000000000000035,0.0009000000000000032,0.000550000000000002,0.00037500000000000136,0.00038750000000000134,0.0003500000000000013,0.00023750000000000084,0.0001125000000000004,0.00020000000000000071,0.0001125000000000004,0.00015000000000000053,8.750000000000032e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,5.000000000000018e-05,6.250000000000022e-05,7.500000000000026e-05,5.000000000000018e-05,5.000000000000018e-05,3.750000000000013e-05,2.500000000000009e-05,1.2500000000000045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,0.21089369407221667,0.22550486957978577,0.2523382830794684,0.2800531077006151,0.30890589058905726,0.33332083255203276,0.3529766190647607,0.36544572252875496,0.3660416179682002,0.35821339553348697,0.3401249999999982,0.3103374999999984,0.28321249999999853,0.25062499999999865,0.21477499999999888,0.18176249999999902,0.14721249999999922,0.11693749999999938,0.09292499999999951,0.07044999999999962,0.0566749999999997,0.043524999999999765,0.03423749999999982,0.028374999999999848,0.021262499999999886,0.01674999999999991,0.012899999999999932,0.010387499999999945,0.009199999999999951,0.007199999999999962,0.004724999999999975,0.0035124999999999813,0.0025999999999999864,0.002174999999999988,0.0018124999999999903,0.0013749999999999925,0.0009624999999999949,0.0008499999999999954,0.0004999999999999974,0.0003249999999999983,0.0003624999999999981,0.00027499999999999855,0.00016249999999999915,0.0001499999999999992,0.00016249999999999915,0.0001124999999999994,0.0001124999999999994,7.49999999999996e-05,7.49999999999996e-05,4.999999999999973e-05,4.999999999999973e-05,6.249999999999968e-05,4.999999999999973e-05,3.74999999999998e-05,3.74999999999998e-05,2.4999999999999866e-05,1.2499999999999933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3500000000000005,0.22307338325255302,0.24383534580956148,0.2703794138570397,0.2974056238154543,0.3209820982098221,0.3411713232077017,0.3544016760670439,0.36233315249593245,0.35606650574819093,0.34491336228340697,0.32067500000000115,0.29313750000000105,0.26741250000000094,0.2299250000000008,0.19470000000000068,0.15956250000000055,0.12720000000000045,0.10245000000000036,0.07875000000000028,0.06151250000000022,0.048437500000000175,0.037975000000000134,0.030362500000000108,0.023850000000000086,0.018062500000000065,0.013750000000000047,0.01153750000000004,0.009187500000000032,0.007525000000000027,0.005075000000000018,0.003812500000000014,0.0027875000000000096,0.002300000000000008,0.0018250000000000065,0.0013500000000000048,0.0009375000000000032,0.0008125000000000029,0.0004875000000000017,0.0003250000000000011,0.0003500000000000013,0.00025000000000000087,0.00016250000000000056,0.00017500000000000065,0.00015000000000000053,0.00015000000000000053,0.00010000000000000036,6.250000000000022e-05,5.000000000000018e-05,5.000000000000018e-05,6.250000000000022e-05,6.250000000000022e-05,5.000000000000018e-05,3.750000000000013e-05,2.500000000000009e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.45,0.24145546035223647,0.26304108352370364,0.28544494579534235,0.3090823169359568,0.32942044204420556,0.3434839677479855,0.356139245569824,0.35130790442785087,0.3454913867781025,0.32862582156455505,0.29778750000000104,0.273512500000001,0.24013750000000084,0.20596250000000071,0.17425000000000063,0.14026250000000048,0.1125250000000004,0.0892000000000003,0.06660000000000024,0.05368750000000019,0.04016250000000014,0.03188750000000012,0.02601250000000009,0.01927500000000007,0.014750000000000053,0.01176250000000004,0.009075000000000033,0.008037500000000029,0.00576250000000002,0.0040500000000000145,0.00292500000000001,0.002300000000000008,0.0017250000000000063,0.0013875000000000048,0.0009375000000000032,0.000825000000000003,0.0004875000000000017,0.000287500000000001,0.0003375000000000012,0.000275000000000001,0.00016250000000000056,0.00017500000000000065,0.00010000000000000036,0.00012500000000000044,6.250000000000022e-05,5.000000000000018e-05,5.000000000000018e-05,6.250000000000022e-05,5.000000000000018e-05,3.750000000000013e-05,2.500000000000009e-05,1.2500000000000045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.550000000000001,0.2597875181945035,0.2782581296162214,0.30034794502393447,0.31948382515464574,0.33894639463946213,0.3473342083880224,0.3501015040601605,0.3479703293324082,0.3327787437608656,0.3088507721269287,0.28364999999999846,0.2574624999999986,0.22181249999999883,0.18804999999999897,0.15371249999999917,0.12229999999999934,0.09784999999999948,0.0754249999999996,0.05933749999999968,0.045899999999999753,0.035912499999999806,0.02851249999999985,0.021487499999999885,0.016362499999999915,0.012424999999999934,0.010087499999999947,0.008687499999999954,0.006587499999999965,0.004337499999999977,0.003162499999999983,0.002299999999999988,0.0016124999999999915,0.0014124999999999925,0.0009499999999999949,0.0008499999999999954,0.00047499999999999745,0.0002874999999999985,0.00033749999999999823,0.0002499999999999987,0.00012499999999999935,0.000187499999999999,0.0001124999999999994,0.0001124999999999994,4.999999999999973e-05,4.999999999999973e-05,4.999999999999973e-05,4.999999999999973e-05,3.74999999999998e-05,3.74999999999998e-05,2.4999999999999866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
