r,theta_deg_center,theta_deg_lo_1sigma,theta_deg_hi_1sigma,theta_deg_std
0.04396194711656656,2.6633496156602257,2.2301179916153124,3.4322469755254255,0.5863848715400347
0.045361566243794026,3.0399734573396393,2.6051014470995435,3.7728879236583546,0.5766971016546062
0.046761185371021495,3.405143051875264,2.9570633431434716,4.102204436655712,0.5661151272546876
0.04816080449824896,3.7582612724003766,3.3024185355371714,4.430420953307582,0.5551800830116467
0.04956042362547642,4.098670485829125,3.6423709466442804,4.746894086595712,0.5453079837147127
0.05096004275270389,4.425382298925541,3.970054113262871,5.050701245517705,0.5380206189421115
0.05235966187993135,4.741148314920386,4.2789944507490505,5.347575964918229,0.5337337241864412
0.05375928100715882,5.049813883385142,4.581048901834966,5.642814925073478,0.5314543322145827
0.055158900134386284,5.35455282793148,4.8751200053065995,5.937020691996133,0.5302337748410865
0.056558519261613746,5.6535791020055886,5.155097078226381,6.229718747902991,0.5297445812795044
0.057958138388841215,5.947221757039095,5.428346419565224,6.515079616628576,0.5299423963835163
0.05935775751606868,6.236564301541296,5.7085694503772055,6.790151446530468,0.530534641594251
0.06075737664329614,6.52224394545453,5.967819918543486,7.060595119512207,0.5314267222681485
0.06215699577052361,6.803730108971445,6.235937135316378,7.334278981648627,0.5326511436218064
0.06355661489775108,7.081382781843506,6.496780228392547,7.596544851120685,0.5341674691818156
0.06495623402497853,7.355635538652609,6.753542093973691,7.861592473597637,0.5358578897674451
0.066355853152206,7.626574160569389,7.009302309755919,8.121737266366845,0.5377378939774852
0.06775547227943346,7.894096115534995,7.2694117899763055,8.380008548722534,0.5398423767660633
0.06915509140666093,8.158499591524619,7.521637362737356,8.6340912521521,0.5421153340837893
0.0705547105338884,8.420076144188506,7.775582185664098,8.887422186313481,0.5445058282160831
0.07195432966111587,8.678723173127786,8.022135297016762,9.14138064048244,0.547055393189637
0.07335394878834332,8.934518540747703,8.26307082896991,9.397311502686916,0.5497865156888241
0.07475356791557079,9.187760998062956,8.50539505240116,9.650664824747425,0.5526354711457463
0.07615318704279825,9.438696782494725,8.745021241028672,9.898226716305944,0.5555834379588682
0.07755280617002572,9.687131721143723,8.984228714834614,10.14141011618007,0.5586723440578488
0.07895242529725319,9.933247279588533,9.225270878988784,10.391164947957185,0.5619067467401359
