bg_frac_med,bg_log_sigma,rmse_deg,sim_r_max_p99p5,sim_r_mean
0.4,0.6,2.194415099751535,0.8994315981540136,0.4526922659919307
0.4,0.4,2.27062908977568,0.8455293987265021,0.4077205940261552
0.3,0.4,2.6321970403359765,0.8659257641183243,0.44960108811859884
0.3,0.2,3.264626294695149,0.7317425636142469,0.40859152190513665
0.25,0.2,4.003281340156515,0.7463511508656622,0.43731403292950943
0.25,0.4,4.7953177553143105,0.8724750122945921,0.4726002962357751
0.4,0.8,5.352454035737493,0.9535246170969665,0.49088439963357366
0.2,0.2,5.529444490851788,0.7852066455991863,0.46370343909699535
0.3,0.6,5.570926933750054,0.9008989623473436,0.4834844225050785
0.3,0.8,6.825936907259613,0.9667483762082847,0.5022065879037634
0.4,1.0,7.5260963534695495,1.0267980986966534,0.5318295596253446
0.2,0.4,7.608218531524169,0.8801747734858449,0.502973183127111
0.4,0.2,7.887098530023193,0.6736964765241469,0.35790438862781165
0.25,0.6,8.062094034759465,0.9151453593939916,0.5069080405884722
0.15,0.2,8.964156176344938,0.8145122877506898,0.5072893010259396
0.2,0.8,9.16542579295255,0.9723909849068468,0.5270761601552847
0.2,0.6,9.369163415781289,0.9135138831807877,0.5214899534803744
0.3,1.0,9.729620330135612,0.9522715605416254,0.5466672496805693
0.25,1.0,9.831290304246822,1.0126622694866512,0.5381262808984817
0.15,0.4,9.909077030440782,0.9006971860742442,0.5272333658570785
0.25,0.8,10.080648757562109,0.9383078087704756,0.5342723000713187
0.15,0.8,11.755352846627858,0.948657503642572,0.5507330541961186
0.2,1.0,11.858126050452647,0.974163537245328,0.5550826273265131
0.1,0.2,13.134626962672595,0.8585038083243417,0.5581084460670815
0.15,0.6,13.242797176513802,0.927080058582674,0.5606603401855423
0.1,0.4,13.744869496351116,0.9078330072766143,0.5691246774756629
0.15,1.0,14.294273396219412,0.9980881827658199,0.5806343505765581
0.1,0.8,15.554583766287909,0.9459934130440324,0.5882947232548322
0.1,0.6,15.96978976755337,0.9411162653853409,0.5892453196480922
0.1,1.0,16.81778846063873,0.9483459471683517,0.6004766384561856
0.05,0.2,18.567197502126735,0.9078104278703057,0.6262020997864406
0.05,0.4,19.362096607627826,0.9318403901070595,0.6326677164319174
0.05,0.6,20.314479047161694,0.9437336853615923,0.6426051022583663
0.05,0.8,20.64871589019045,0.9588935664281073,0.6432486215913186
0.05,1.0,21.71311639022505,0.9623188842500308,0.6509326001684395
